step,t_iso,Ay,Ey,Coup2,modulation,mod_err,chosen_by
1,2025-12-22T09:47:32,0.0,0.0,0.0,0.30741644970848603,0.01,init_structured
2,2025-12-22T09:47:32,0.5,0.0,0.0,0.6736123537453509,0.01,init_structured
3,2025-12-22T09:47:32,-0.5,0.0,0.0,0.04561443608771381,0.01,init_structured
4,2025-12-22T09:47:32,0.0,0.5,0.0,0.2448462177115163,0.01,init_structured
5,2025-12-22T09:47:32,0.0,-0.5,0.0,0.11559820020113772,0.01,init_structured
6,2025-12-22T09:47:32,0.0,0.0,0.5,0.33716217882293714,0.01,init_structured
7,2025-12-22T09:47:32,0.0,0.0,-0.5,0.1325717461048556,0.01,init_structured
8,2025-12-22T09:47:32,0.73,-1.78,-1.12,0.0,0.01,init_random
9,2025-12-22T09:47:32,2.0,0.15,0.65,0.0,0.01,GF
10,2025-12-22T09:47:32,0.65,0.23,-0.8,0.13511928016214356,0.01,GF
11,2025-12-22T09:47:32,0.81,1.56,0.6900000000000001,0.008833992826131336,0.01,GF
12,2025-12-22T09:47:32,0.9,0.17,-0.23,0.3521973652868529,0.01,GF
13,2025-12-22T09:47:32,0.6900000000000001,0.14,1.9100000000000001,0.0,0.01,GF
14,2025-12-22T09:47:32,0.6900000000000001,0.09,-0.27,0.4735790603487463,0.01,GF
15,2025-12-22T09:47:32,0.6900000000000001,0.13,1.08,0.2715437733589189,0.01,GF
16,2025-12-22T09:47:32,0.52,-0.65,0.4,0.07602976493507589,0.01,GF
17,2025-12-22T09:47:32,0.56,0.2,0.8200000000000001,0.47854467896343517,0.01,GF
18,2025-12-22T09:47:32,0.54,0.18,-0.32,0.47373823411451027,0.01,GF
19,2025-12-22T09:47:32,0.54,0.2,0.8300000000000001,0.5055889183010733,0.01,GF
20,2025-12-22T09:47:32,0.53,0.21,-0.32,0.48122047212643987,0.01,GF
21,2025-12-22T09:47:32,0.51,0.21,0.84,0.48895306344413925,0.01,GF
22,2025-12-22T09:47:32,0.54,0.2,-0.33,0.4842885904715618,0.01,GF
